id,category_alias,category_title,restaurant_id,restaurant_name,restaurant_price,restaurant_review_count,restaurant_rating,restaurant_phone,restaurant_distance,restaurant_coordinates_latitude,restaurant_coordinates_longitude,restaurant_location_city,restaurant_location_zip_code,restaurant_location_address1
55,breakfast_brunch,Breakfast & Brunch,vFQkzyNaKXBMZExeHRSOyg,Pret A Manger,,7,4.5,+492078278000,426.20937389649447,52.5243338564226,13.3695555026919,Berlin,10557,Europaplatz 1
56,sandwiches,Sandwiches,vFQkzyNaKXBMZExeHRSOyg,Pret A Manger,,7,4.5,+492078278000,426.20937389649447,52.5243338564226,13.3695555026919,Berlin,10557,Europaplatz 1
57,scottish,Scottish,FqjkhdhJIpxAVFGfytu73A,Hirsch & Hase,,5,5.0,+4917631322073,2281.968223179457,52.542081,13.393723,Berlin,13355,Brunnenstr. 73
58,beergarden,Beer Garden,FqjkhdhJIpxAVFGfytu73A,Hirsch & Hase,,5,5.0,+4917631322073,2281.968223179457,52.542081,13.393723,Berlin,13355,Brunnenstr. 73
59,tapasmallplates,Tapas/Small Plates,FqjkhdhJIpxAVFGfytu73A,Hirsch & Hase,,5,5.0,+4917631322073,2281.968223179457,52.542081,13.393723,Berlin,13355,Brunnenstr. 73
60,burgers,Burgers,K1U73tI42PdMoyj3pdSDcw,Louis Alfons,€€,14,4.5,+493064491107,2235.804649472597,52.544307,13.371223,Berlin,13347,Gerichtstr. 60
61,steak,Steakhouses,K1U73tI42PdMoyj3pdSDcw,Louis Alfons,€€,14,4.5,+493064491107,2235.804649472597,52.544307,13.371223,Berlin,13347,Gerichtstr. 60
62,italian,Italian,Uv0i4nrfjgUVJenHbcxlyA,Dolcini,€€,34,4.5,+493024630456,1378.432867680872,52.51384,13.38688,Berlin,10117,Jägerstr. 70
63,indpak,Indian,Ul_fxm7Rg-QSsWGPg3xclA,ammAmma,€,61,4.5,+493078718485,4659.9000636300425,52.4850306,13.3522505,Berlin,10823,Eisenacher Str. 59
64,chinese,Chinese,f2Q3i3MjsbJSUVhG47Gw-w,Lucky Star,€€,64,4.0,+493056735514,749.0635865678418,52.52559,13.38709,Berlin,10117,Friedrichstr.127
65,chinese,Chinese,huvKWp95UPlfzpW1-K4cpg,Chen's Wok,,9,4.0,+49303419013,4061.561038140074,52.5133099020105,13.3186600729823,Berlin,10585,Otto-Suhr-Allee 11 - 13
66,cafes,Cafes,CPjSn7dFNcC10VhHa9sqZA,Steel Vintage Bikes Café,€€,73,4.5,+493020623877,1384.844689975583,52.51254,13.38211,Berlin,10117,Wilhelmstr. 91
67,bikes,Bikes,CPjSn7dFNcC10VhHa9sqZA,Steel Vintage Bikes Café,€€,73,4.5,+493020623877,1384.844689975583,52.51254,13.38211,Berlin,10117,Wilhelmstr. 91
68,breakfast_brunch,Breakfast & Brunch,CPjSn7dFNcC10VhHa9sqZA,Steel Vintage Bikes Café,€€,73,4.5,+493020623877,1384.844689975583,52.51254,13.38211,Berlin,10117,Wilhelmstr. 91
69,german,German,zoqrQLulC-weIVB83OIc4Q,Elefant,€€,159,4.5,+493023607346,3502.052178173731,52.4989484,13.3453693,Berlin,10777,Fuggerstr. 18
70,korean,Korean,NnvM46-PnfmEdSYpCP6mGQ,Guten Dag,€,22,4.5,+4917672606287,3678.880194257397,52.5482529804299,13.4135445579886,Berlin,10437,Schönhauser Allee 120
71,chickenshop,Chicken Shop,NnvM46-PnfmEdSYpCP6mGQ,Guten Dag,€,22,4.5,+4917672606287,3678.880194257397,52.5482529804299,13.4135445579886,Berlin,10437,Schönhauser Allee 120
72,italian,Italian,I0h9RZKCxPud0Azpmr_LDw,Papà Pane di Sorrento,€€,238,4.0,+493028092701,1633.2529695336175,52.53198,13.39639,Berlin,10115,Ackerstr. 23
73,vegetarian,Vegetarian,0VBlZfPnfpWHoMRiSY_iiw,momos,€,12,4.0,+491602688177,834.7947870310736,52.52758,13.38715,Berlin,10115,Chausseestr. 2
74,vegan,Vegan,0VBlZfPnfpWHoMRiSY_iiw,momos,€,12,4.0,+491602688177,834.7947870310736,52.52758,13.38715,Berlin,10115,Chausseestr. 2
75,thai,Thai,1z9sINlk-lb_ehNImziP7Q,Thai Window Asia,€,61,4.5,+493063378610,2544.5175556035533,52.5277522833396,13.4130607292624,Berlin,10119,Torstr. 22
76,mexican,Mexican,SugGVcQTeL-7Rx0fZgyrgw,Taquería Ta'Cabrón,€,145,4.0,+493032662439,4954.961124669038,52.4998771,13.4369915,Berlin,10997,Skalitzer Str. 60
77,divebars,Dive Bars,SugGVcQTeL-7Rx0fZgyrgw,Taquería Ta'Cabrón,€,145,4.0,+493032662439,4954.961124669038,52.4998771,13.4369915,Berlin,10997,Skalitzer Str. 60
78,schnitzel,Schnitzel,zoGKin7W8L3uyXeXlvc5gg,Schnitzelei Mitte,€€€,48,4.5,+493032519422,898.0743506015705,52.528464,13.387325,Berlin,10115,Chausseestr. 8
79,cafes,Cafes,fYaEKJzXZvaJ0E9HrtEbTg,Du Bonheur,€€,49,4.5,+493056591955,1987.9928244104124,52.5362432,13.3978679,Berlin,10115,Brunnenstr. 39
